City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Hilo,US,73.62,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Thompson,CA,60.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
7,Rikitea,PF,73.4,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Cidreira,BR,67.95,overcast clouds,-30.1811,-50.2056,Hotel Castelo
13,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
27,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
39,Broome,US,65.17,overcast clouds,42.2506,-75.833,Chenango Valley State Park
44,Kangavar,IR,66.33,clear sky,34.5043,47.9653,محمد جوادرضایی
46,Olari,RO,63.01,overcast clouds,46.3833,21.55,
50,Khasan,RU,61.84,overcast clouds,42.4308,130.6434,
54,Shelburne,CA,66.69,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
56,Souillac,MU,72.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
59,Castro,BR,64.85,light rain,-24.7911,-50.0119,CHACARA BAILLY
60,Portland,US,68.11,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
69,Albany,US,68.14,overcast clouds,42.6001,-73.9662,
79,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Porto Torres,IT,68.18,broken clouds,40.835,8.3972,Hotel Elisa
87,Nemuro,JP,61.18,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
92,Benguela,AO,72.0,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
94,Kaeo,NZ,62.33,light rain,-35.1,173.7833,Bushido Lodge
103,Eureka,US,61.99,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
105,Connersville,US,73.51,overcast clouds,39.6412,-85.1411,The Lodge at IOI
115,Jamestown,US,71.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
119,Torbay,CA,61.29,broken clouds,47.6666,-52.7314,Gallows Cove
122,Montepuez,MZ,72.81,few clouds,-13.1256,38.9997,PembaAparthotel
124,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
126,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
129,Richards Bay,ZA,60.75,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
131,Saint-Jean-Port-Joli,CA,62.91,clear sky,47.2171,-70.2658,Motel Blanche d'Haberville
132,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Punto de encuentro
135,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
137,Cehegin,ES,74.71,overcast clouds,38.0924,-1.7985,Apartamentos Begastri
141,Luoyang,CN,70.63,light rain,34.6836,112.4536,易家国际青年旅舍
145,Chuy,UY,61.56,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
147,Sydney,AU,64.36,clear sky,-33.8679,151.2073,The Grace Sydney
155,Pasighat,IN,73.53,overcast clouds,28.0667,95.3333,Siang Guest House
160,Saint-Pierre,RE,73.08,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
163,Los Llanos De Aridane,ES,71.35,scattered clouds,28.6585,-17.9182,Valle Aridane
165,Seoul,KR,71.04,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
167,Paoua,CF,70.61,light rain,7.2427,16.4406,Quartier Paoua Elien
174,Sidney,AU,64.36,clear sky,-33.8679,151.2073,The Grace Sydney
178,Mwene-Ditu,CD,69.62,overcast clouds,-7.0,23.45,Hôtel Kamas
180,Hamilton,US,72.25,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
181,Roebourne,AU,69.3,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
188,Palmer,US,74.68,overcast clouds,42.1584,-72.3287,Wedgewood Motel
192,Poum,NC,74.19,clear sky,-20.2333,164.0167,Gîte kajeon
198,Flinders,AU,62.19,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
199,Mosquera,CO,71.69,scattered clouds,4.7059,-74.2302,Hotel SJ
