City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Dikson,RU,73.5069,80.5464,34.79,98,100,23.38,light rain
1,Margate,GB,51.3813,1.3862,56.03,76,0,5.01,clear sky
2,Cape Town,ZA,-33.9258,18.4232,58.08,55,20,12.66,few clouds
3,Hilo,US,19.7297,-155.09,73.62,84,90,4.61,light rain
4,Buala,SB,-8.145,159.5921,78.75,84,57,2.06,broken clouds
5,Atuona,PF,-9.8,-139.0333,77.56,74,15,17.78,few clouds
6,Thompson,CA,55.7435,-97.8558,60.96,63,75,2.3,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,73.4,64,100,17.65,overcast clouds
8,Ancud,CL,-41.8697,-73.8203,51.33,66,99,11.41,overcast clouds
9,Guaruja,BR,-23.9931,-46.2564,80.17,49,0,4.0,light rain
10,Kapaa,US,22.0752,-159.319,80.58,86,90,5.01,heavy intensity rain
11,Cidreira,BR,-30.1811,-50.2056,67.95,84,100,8.37,overcast clouds
12,Saldanha,ZA,-33.0117,17.9442,55.45,70,0,24.52,clear sky
13,Vaini,TO,-21.2,-175.2,73.56,88,90,9.22,overcast clouds
14,Butaritari,KI,3.0707,172.7902,82.36,65,100,17.63,overcast clouds
15,Lebu,CL,-37.6167,-73.65,52.74,70,1,22.24,clear sky
16,Taoudenni,ML,22.6783,-3.9836,99.7,8,81,10.09,broken clouds
17,Mar Del Plata,AR,-38.0023,-57.5575,55.42,51,0,20.0,clear sky
18,Foso,GH,5.7012,-1.2866,75.25,95,100,4.43,light rain
19,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,35.68,light intensity shower rain
20,Kenai,US,60.5544,-151.2583,40.14,91,75,0.0,broken clouds
21,Ures,MX,29.4333,-110.4,93.52,22,12,1.81,few clouds
22,Njombe,TZ,-9.3333,34.7667,55.51,75,41,2.98,scattered clouds
23,Egvekinot,RU,66.3167,-179.1667,25.52,97,100,3.42,light snow
24,Port Hardy,CA,50.6996,-127.4199,51.98,71,40,6.91,light rain
25,Bredasdorp,ZA,-34.5322,20.0403,50.29,87,13,0.0,few clouds
26,Port Elizabeth,ZA,-33.918,25.5701,57.09,76,20,6.91,few clouds
27,Saint-Joseph,RE,-21.3667,55.6167,71.98,79,19,11.45,few clouds
28,Jeremie,HT,18.65,-74.1167,84.16,68,100,2.01,light rain
29,San Policarpo,PH,12.1791,125.5072,81.43,85,100,16.55,moderate rain
30,Tasiilaq,GL,65.6145,-37.6368,41.16,55,0,5.86,clear sky
31,Bolotnoye,RU,55.6717,84.3981,33.24,98,100,6.98,light snow
32,Kodiak,US,57.79,-152.4072,40.51,52,1,9.22,clear sky
33,Busselton,AU,-33.65,115.3333,42.08,67,87,3.58,overcast clouds
34,Paamiut,GL,61.994,-49.6678,39.99,72,0,8.34,clear sky
35,Berlevag,NO,70.8578,29.0864,51.8,62,0,34.52,clear sky
36,Vardo,NO,70.3705,31.1107,49.98,76,0,19.57,clear sky
37,Mataura,NZ,-46.1927,168.8643,44.47,90,100,7.27,light rain
38,Lorengau,PG,-2.0226,147.2712,79.07,82,94,3.83,overcast clouds
39,Broome,US,42.2506,-75.833,65.17,80,90,5.01,overcast clouds
40,San Andres,CO,12.5847,-81.7006,87.82,70,40,9.22,scattered clouds
41,Ulety,RU,51.3572,112.4849,35.46,79,100,6.73,overcast clouds
42,Te Anau,NZ,-45.4167,167.7167,45.18,98,100,3.4,overcast clouds
43,Kholtoson,RU,50.2981,103.3097,26.6,97,85,0.6,overcast clouds
44,Kangavar,IR,34.5043,47.9653,66.33,23,0,2.15,clear sky
45,Kaitangata,NZ,-46.2817,169.8464,49.93,82,100,13.33,overcast clouds
46,Olari,RO,46.3833,21.55,63.01,43,100,5.95,overcast clouds
47,Ketchikan,US,55.3422,-131.6461,45.07,76,40,9.22,light rain
48,Usinsk,RU,65.9939,57.5281,31.17,76,23,8.9,few clouds
49,Norman Wells,CA,65.282,-126.8329,35.64,93,90,19.57,mist
50,Khasan,RU,42.4308,130.6434,61.84,88,100,6.2,overcast clouds
51,Batavia,US,41.85,-88.3126,78.6,72,75,1.01,light rain
52,Tautira,PF,-17.7333,-149.15,80.62,77,10,9.53,light rain
53,Anahuac,MX,27.2333,-100.15,87.3,43,86,6.71,overcast clouds
54,Shelburne,CA,44.0787,-80.2041,66.69,94,100,1.74,overcast clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,69,20,23.02,few clouds
56,Souillac,MU,-20.5167,57.5167,72.36,88,75,13.8,broken clouds
57,Hithadhoo,MV,-0.6,73.0833,83.23,75,86,16.98,overcast clouds
58,Cayenne,GF,4.9333,-52.3333,89.64,74,75,4.0,broken clouds
59,Castro,BR,-24.7911,-50.0119,64.85,95,100,5.68,light rain
60,Portland,US,45.5234,-122.6762,68.11,67,75,1.01,broken clouds
61,Victoria,HK,22.2855,114.1577,85.32,78,86,3.0,light rain
62,Udachnyy,RU,66.4167,112.4,28.02,73,100,4.7,overcast clouds
63,Lyudinovo,RU,53.8664,34.4478,44.89,83,100,4.65,light rain
64,Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,30,11.86,scattered clouds
65,Launceston,AU,-41.45,147.1667,53.62,91,40,1.01,light rain
66,Naryan-Mar,RU,67.6713,53.087,36.03,94,67,10.18,broken clouds
67,Firminy,FR,45.3873,4.2907,53.62,94,75,5.75,broken clouds
68,Monrovia,LR,6.3005,-10.7969,83.97,85,88,4.18,overcast clouds
69,Albany,US,42.6001,-73.9662,68.14,86,100,0.25,overcast clouds
70,Bethel,US,41.3712,-73.414,77.49,63,40,5.75,scattered clouds
71,Georgetown,MY,5.4112,100.3354,81.9,87,20,5.01,few clouds
72,New Norfolk,AU,-42.7826,147.0587,53.74,84,49,1.28,scattered clouds
73,Petatlan,MX,17.5167,-101.2667,89.4,58,100,5.59,overcast clouds
74,Provideniya,RU,64.3833,-173.3,26.19,80,53,2.57,broken clouds
75,Ushuaia,AR,-54.8,-68.3,47.86,61,75,11.5,moderate rain
76,Clyde River,CA,70.4692,-68.5914,39.43,87,90,2.3,overcast clouds
77,Luderitz,NA,-26.6481,15.1594,60.31,50,78,25.55,broken clouds
78,Safaga,EG,26.7292,33.9365,82.35,47,0,14.45,clear sky
79,Mahebourg,MU,-20.4081,57.7,72.25,88,75,13.8,broken clouds
80,Yellowknife,CA,62.456,-114.3525,51.42,50,20,11.5,few clouds
81,Iskateley,RU,67.6803,53.1512,35.85,94,66,10.22,broken clouds
82,Ballina,AU,-28.8667,153.5667,58.78,94,32,0.0,scattered clouds
83,Port Alfred,ZA,-33.5906,26.891,57.11,71,40,8.46,light rain
84,Porto Torres,IT,40.835,8.3972,68.18,71,74,4.88,broken clouds
85,Barrow,US,71.2906,-156.7887,30.22,80,90,8.05,overcast clouds
86,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,4.61,broken clouds
87,Nemuro,JP,43.3236,145.575,61.18,86,83,31.29,broken clouds
88,Celestun,MX,20.8667,-90.4,88.34,57,60,7.49,broken clouds
89,Tutoia,BR,-2.7619,-42.2744,89.58,70,48,16.31,scattered clouds
90,Esperance,AU,-33.8667,121.9,42.64,70,72,9.42,broken clouds
91,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,58,90,3.44,overcast clouds
92,Benguela,AO,-12.5763,13.4055,72.0,80,90,4.18,overcast clouds
93,Upernavik,GL,72.7868,-56.1549,30.74,92,100,4.88,light snow
94,Kaeo,NZ,-35.1,173.7833,62.33,97,100,11.86,light rain
95,Padang,ID,-0.9492,100.3543,77.43,87,94,2.71,overcast clouds
96,Port Blair,IN,11.6667,92.75,79.77,84,100,7.38,overcast clouds
97,Batsfjord,NO,70.6345,29.7185,51.73,79,100,30.2,overcast clouds
98,Ostrovnoy,RU,68.0531,39.5131,44.51,87,21,20.83,few clouds
